Repository: repo663, Score: 3755.20
Repository: repo1220, Score: 3743.20
Repository: repo154, Score: 3615.30
Repository: repo1095, Score: 3602.60
Repository: repo48, Score: 3600.60
Repository: repo1035, Score: 3516.80
Repository: repo1021, Score: 3438.90
Repository: repo767, Score: 3425.90
Repository: repo1183, Score: 3359.90
Repository: repo102, Score: 3359.30
Repository: repo66, Score: 3266.60
Repository: repo433, Score: 3141.50
Repository: repo104, Score: 3066.00
Repository: repo59, Score: 3041.00
Repository: repo1006, Score: 3013.00
Repository: repo815, Score: 3010.10
Repository: repo1218, Score: 2975.40
Repository: repo1015, Score: 2962.90
Repository: repo213, Score: 2891.80
Repository: repo933, Score: 2805.30
Repository: repo158, Score: 2744.00
Repository: repo964, Score: 2654.20
Repository: repo368, Score: 2638.30
Repository: repo612, Score: 2628.60
Repository: repo958, Score: 2567.60
Repository: repo294, Score: 2560.40
Repository: repo932, Score: 2496.80
Repository: repo160, Score: 2377.70
Repository: repo674, Score: 2297.90
Repository: repo39, Score: 2232.40
Repository: repo233, Score: 2208.60
Repository: repo414, Score: 2199.90
Repository: repo578, Score: 2155.90
Repository: repo316, Score: 2149.90
Repository: repo871, Score: 2144.10
Repository: repo863, Score: 2120.60
Repository: repo714, Score: 2105.30
Repository: repo300, Score: 2083.90
Repository: repo258, Score: 2083.60
Repository: repo1018, Score: 2081.10
Repository: repo466, Score: 2079.40
Repository: repo1176, Score: 2079.40
Repository: repo962, Score: 2079.40
Repository: repo582, Score: 2078.50
Repository: repo834, Score: 2050.80
Repository: repo907, Score: 1957.30
Repository: repo31, Score: 1943.90
Repository: repo499, Score: 1940.50
Repository: repo50, Score: 1866.80
Repository: repo489, Score: 1834.40
Repository: repo1168, Score: 1799.00
Repository: repo591, Score: 1779.40
Repository: repo980, Score: 1752.90
Repository: repo221, Score: 1734.90
Repository: repo1177, Score: 1734.40
Repository: repo1122, Score: 1717.70
Repository: repo371, Score: 1712.00
Repository: repo365, Score: 1694.60
Repository: repo713, Score: 1679.70
Repository: repo214, Score: 1645.20
Repository: repo385, Score: 1642.60
Repository: repo959, Score: 1638.00
Repository: repo1203, Score: 1600.00
Repository: repo719, Score: 1592.40
Repository: repo789, Score: 1568.20
Repository: repo984, Score: 1496.50
Repository: repo480, Score: 1486.30
Repository: repo186, Score: 1474.00
Repository: repo1250, Score: 1418.90
Repository: repo475, Score: 1410.60
Repository: repo1048, Score: 1367.20
Repository: repo47, Score: 1366.20
Repository: repo972, Score: 1364.30
Repository: repo1032, Score: 1352.40
Repository: repo1071, Score: 1331.20
Repository: repo1109, Score: 1318.00
Repository: repo1034, Score: 1315.20
Repository: repo623, Score: 1308.80
Repository: repo728, Score: 1298.40
Repository: repo877, Score: 1295.40
Repository: repo413, Score: 1261.40
Repository: repo588, Score: 1258.50
Repository: repo810, Score: 1250.00
Repository: repo478, Score: 1237.10
Repository: repo77, Score: 1224.90
Repository: repo581, Score: 1223.50
Repository: repo1192, Score: 1205.70
Repository: repo852, Score: 1199.30
Repository: repo802, Score: 1186.00
Repository: repo282, Score: 1182.60
Repository: repo575, Score: 1167.80
Repository: repo120, Score: 1165.10
Repository: repo281, Score: 1156.00
Repository: repo685, Score: 1155.00
Repository: repo321, Score: 1144.40
Repository: repo196, Score: 1112.40
Repository: repo967, Score: 1067.80
Repository: repo274, Score: 1058.30
Repository: repo189, Score: 1046.90
Repository: repo706, Score: 1028.20
Repository: repo203, Score: 1006.50
Repository: repo481, Score: 1002.70
Repository: repo824, Score: 999.60
Repository: repo724, Score: 987.80
Repository: repo1164, Score: 983.20
Repository: repo689, Score: 975.60
Repository: repo981, Score: 968.50
Repository: repo171, Score: 952.70
Repository: repo145, Score: 943.70
Repository: repo228, Score: 918.60
Repository: repo1000, Score: 905.90
Repository: repo694, Score: 895.80
Repository: repo390, Score: 893.10
Repository: repo1092, Score: 888.50
Repository: repo672, Score: 873.60
Repository: repo496, Score: 871.20
Repository: repo759, Score: 857.20
Repository: repo391, Score: 842.80
Repository: repo1081, Score: 832.50
Repository: repo906, Score: 831.80
Repository: repo217, Score: 828.80
Repository: repo1016, Score: 828.50
Repository: repo389, Score: 828.10
Repository: repo264, Score: 827.90
Repository: repo1124, Score: 817.40
Repository: repo10, Score: 778.70
Repository: repo1182, Score: 760.60
Repository: repo878, Score: 753.90
Repository: repo1135, Score: 734.00
Repository: repo163, Score: 727.20
Repository: repo1076, Score: 701.30
Repository: repo326, Score: 686.80
Repository: repo314, Score: 665.70
Repository: repo1260, Score: 641.40
Repository: repo157, Score: 631.90
Repository: repo1258, Score: 611.80
Repository: repo748, Score: 610.10
Repository: repo953, Score: 610.10
Repository: repo277, Score: 599.10
Repository: repo1246, Score: 597.20
Repository: repo751, Score: 587.20
Repository: repo348, Score: 545.60
Repository: repo403, Score: 542.80
Repository: repo240, Score: 518.80
Repository: repo987, Score: 505.90
Repository: repo232, Score: 481.80
Repository: repo790, Score: 480.20
Repository: repo406, Score: 477.00
Repository: repo610, Score: 473.40
Repository: repo179, Score: 471.60
Repository: repo437, Score: 471.40
Repository: repo80, Score: 469.00
Repository: repo471, Score: 465.20
Repository: repo45, Score: 462.20
Repository: repo934, Score: 461.80
Repository: repo503, Score: 459.30
Repository: repo200, Score: 456.60
Repository: repo354, Score: 454.00
Repository: repo535, Score: 451.20
Repository: repo812, Score: 447.10
Repository: repo105, Score: 440.50
Repository: repo242, Score: 436.40
Repository: repo209, Score: 436.40
Repository: repo641, Score: 431.90
Repository: repo1219, Score: 393.00
Repository: repo1108, Score: 384.20
Repository: repo743, Score: 384.00
Repository: repo378, Score: 377.30
Repository: repo1059, Score: 366.60
Repository: repo149, Score: 365.00
Repository: repo817, Score: 364.10
Repository: repo440, Score: 359.20
Repository: repo716, Score: 355.50
Repository: repo144, Score: 354.60
Repository: repo559, Score: 352.90
Repository: repo1077, Score: 351.90
Repository: repo732, Score: 351.60
Repository: repo26, Score: 340.50
Repository: repo735, Score: 337.40
Repository: repo405, Score: 337.40
Repository: repo309, Score: 333.30
Repository: repo193, Score: 331.80
Repository: repo521, Score: 320.50
Repository: repo567, Score: 314.30
Repository: repo146, Score: 309.50
Repository: repo1186, Score: 298.40
Repository: repo1047, Score: 296.70
Repository: repo791, Score: 296.20
Repository: repo423, Score: 293.30
Repository: repo352, Score: 288.20
Repository: repo549, Score: 286.40
Repository: repo353, Score: 283.80
Repository: repo345, Score: 277.00
Repository: repo138, Score: 276.30
Repository: repo418, Score: 272.90
Repository: repo683, Score: 271.00
Repository: repo862, Score: 270.60
Repository: repo1155, Score: 269.60
Repository: repo574, Score: 266.10
Repository: repo224, Score: 266.10
Repository: repo899, Score: 264.80
Repository: repo58, Score: 261.20
Repository: repo956, Score: 258.60
Repository: repo410, Score: 256.00
Repository: repo23, Score: 255.00
Repository: repo924, Score: 253.10
Repository: repo850, Score: 252.60
Repository: repo1141, Score: 252.20
Repository: repo744, Score: 249.90
Repository: repo1170, Score: 249.90
Repository: repo658, Score: 249.40
Repository: repo565, Score: 249.20
Repository: repo1088, Score: 249.10
Repository: repo913, Score: 236.80
Repository: repo537, Score: 234.80
Repository: repo749, Score: 233.60
Repository: repo320, Score: 233.30
Repository: repo986, Score: 230.30
Repository: repo1149, Score: 229.60
Repository: repo1226, Score: 224.50
Repository: repo989, Score: 224.40
Repository: repo1026, Score: 224.40
Repository: repo1051, Score: 221.00
Repository: repo401, Score: 218.60
Repository: repo341, Score: 216.90
Repository: repo176, Score: 210.70
Repository: repo686, Score: 210.50
Repository: repo504, Score: 209.40
Repository: repo607, Score: 208.50
Repository: repo1259, Score: 205.80
Repository: repo292, Score: 205.00
Repository: repo886, Score: 203.30
Repository: repo1257, Score: 200.80
Repository: repo103, Score: 198.20
Repository: repo109, Score: 196.80
Repository: repo132, Score: 194.90
Repository: repo454, Score: 193.00
Repository: repo1072, Score: 192.40
Repository: repo323, Score: 189.60
Repository: repo631, Score: 188.30
Repository: repo859, Score: 186.10
Repository: repo237, Score: 185.20
Repository: repo1052, Score: 183.30
Repository: repo225, Score: 180.10
Repository: repo510, Score: 178.70
Repository: repo650, Score: 174.40
Repository: repo1113, Score: 169.90
Repository: repo593, Score: 169.00
Repository: repo462, Score: 167.10
Repository: repo1134, Score: 166.50
Repository: repo181, Score: 166.00
Repository: repo1082, Score: 165.80
Repository: repo876, Score: 165.00
Repository: repo3, Score: 163.60
Repository: repo543, Score: 163.60
Repository: repo310, Score: 162.00
Repository: repo1065, Score: 161.10
Repository: repo383, Score: 160.70
Repository: repo1191, Score: 157.80
Repository: repo340, Score: 155.40
Repository: repo93, Score: 151.80
Repository: repo358, Score: 148.30
Repository: repo230, Score: 148.20
Repository: repo804, Score: 147.70
Repository: repo150, Score: 146.60
Repository: repo252, Score: 145.40
Repository: repo823, Score: 139.40
Repository: repo1004, Score: 133.10
Repository: repo1114, Score: 132.30
Repository: repo542, Score: 130.50
Repository: repo800, Score: 129.90
Repository: repo910, Score: 128.20
Repository: repo431, Score: 127.90
Repository: repo661, Score: 126.60
Repository: repo692, Score: 123.00
Repository: repo1197, Score: 120.50
Repository: repo1023, Score: 120.50
Repository: repo1212, Score: 120.20
Repository: repo53, Score: 119.40
Repository: repo275, Score: 117.80
Repository: repo325, Score: 117.40
Repository: repo566, Score: 115.40
Repository: repo1001, Score: 115.00
Repository: repo118, Score: 114.40
Repository: repo836, Score: 113.00
Repository: repo36, Score: 111.40
Repository: repo416, Score: 110.70
Repository: repo1112, Score: 110.60
Repository: repo652, Score: 110.00
Repository: repo946, Score: 108.50
Repository: repo1256, Score: 107.60
Repository: repo894, Score: 101.60
Repository: repo656, Score: 101.20
Repository: repo1264, Score: 100.80
Repository: repo1198, Score: 99.50
Repository: repo91, Score: 99.20
Repository: repo1017, Score: 99.10
Repository: repo841, Score: 98.80
Repository: repo973, Score: 98.70
Repository: repo449, Score: 97.80
Repository: repo164, Score: 97.10
Repository: repo884, Score: 97.00
Repository: repo1228, Score: 96.50
Repository: repo116, Score: 96.00
Repository: repo412, Score: 95.80
Repository: repo866, Score: 94.60
Repository: repo24, Score: 94.50
Repository: repo589, Score: 94.10
Repository: repo594, Score: 94.00
Repository: repo2, Score: 93.90
Repository: repo359, Score: 93.90
Repository: repo463, Score: 90.40
Repository: repo8, Score: 89.80
Repository: repo1119, Score: 88.40
Repository: repo1152, Score: 87.70
Repository: repo977, Score: 87.70
Repository: repo511, Score: 87.00
Repository: repo1263, Score: 82.80
Repository: repo270, Score: 82.30
Repository: repo419, Score: 81.80
Repository: repo100, Score: 80.60
Repository: repo926, Score: 80.20
Repository: repo122, Score: 79.80
Repository: repo332, Score: 79.80
Repository: repo618, Score: 79.50
